district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;central_govt;central_govt_basic_and_below_basic;central_govt_proficient_and_advance;govt;govt_aided;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;govt_basic_and_below_basic;govt_proficient_and_advance;private;private_basic_and_below_basic;private_proficient_and_advance
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;math;0;0;0;28.391958;27.058851;98.44633;1.5536723;97.47845;2.5215516;28.693716;96.86639;3.133612
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;language;0;0;0;28.09595;32.40825;93.44271;6.557287;99.200195;0.7998046;45.702354;81.82639;18.173609
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;math;0;0;0;24.684034;25.370296;97.06727;2.9327316;99.17987;0.8201318;29.208763;95.51711;4.482887
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;sci;0;0;0;27.042368;28.262506;97.21083;2.7891715;97.18807;2.811931;34.31641;90.20551;9.794489
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;sst;0;0;0;26.517056;28.308235;97.57803;2.4219697;99.14997;0.85003036;32.956966;97.73091;2.2690887
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;eng;0;0;0;24.96265;30.13255873;69.92623935;30.07376065;80.95102;19.048979;37.556442;44.83992;55.16008
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;math;0;0;0;24.087597;23.83807325;97.03444327;2.96555673;100;0;25.880085;95.51282;4.4871793
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;mil;0;0;0;21.829988;24.41570444;100;0;100;0;25.331627;100;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;sci;0;0;0;26.32237;25.41474611;100;0;100;0;28.002216;100;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;sst;0;0;0;25.804134;28.24080206;99.57561728;0.424382716;100;0;28.175985;97.77328;2.2267206
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;evs;0;0;0;54.48568;48.9117;67.964424;32.035576;60.90328;39.09672;48.023914;74.48834;25.511658
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;language;0;0;0;59.727695;53.180687;68.57003;31.429968;56.50704;43.49296;49.178604;76.95083;23.04917
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;math;0;0;0;50.675285;46.981934;73.603714;26.396284;64.56858;35.43142;43.41116;78.275604;21.724398
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;evs;0;0;0;37.418243;39.536095;79.20198;20.798021;84.346535;15.653462;39.25046;84.59886;15.401136
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;language;0;0;0;48.505966;41.42514;79.726524;20.273476;73.36237;26.63763;44.00915;80.33374;19.666256
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;math;0;0;0;34.44943;38.035522;82.398506;17.601496;90.157425;9.842573;31.652199;93.12543;6.874572
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;language;60.22222;53.333332;46.666668;40.342373;37.104595;91.058464;8.941532;87.69786;12.302136;52.705338;71.22549;28.77451
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;math;31.041666;93.75;6.25;32.717434;28.975254;88.99002;11.00998;81.4029;18.597101;29.801167;89.56665;10.433349
